date,wci_composite_usd_per_40ft,source_id,note
2023-10-01,1342,S-FR1,October 2023 reference level (pre-crisis); lowest in 3 years per industry reporting
2023-12-14,1521,S-FR2,Weekly Drewry WCI assessment (+4% w/w)
2023-12-21,1661,S-FR3,Weekly Drewry WCI assessment (+9% w/w)
2024-01-18,3777,S-FR4,Weekly Drewry WCI assessment during Red Sea diversions
2024-01-25,3964,S-FR5,End-January 2024 peak per ITF-OECD; dated to the 25 Jan weekly assessment (print date approximate)
